# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
123400 -6.46679
123500 -6.44191
123600 -6.44761
123700 -6.45466
123800 -6.43992
123900 -6.45134
124000 -6.44506
124100 -6.45606
124200 -6.4607
124300 -6.47636
124400 -6.4642
124500 -6.4699
124600 -6.4478
124700 -6.44388
124800 -6.44828
124900 -6.44487
125000 -6.47614
125100 -6.44587
125200 -6.43038
125300 -6.4437
125400 -6.44167
125500 -6.44545
125600 -6.45637
125700 -6.45502
125800 -6.43256
125900 -6.45182
126000 -6.45384
126100 -6.45369
126200 -6.44923
126300 -6.4461
126400 -6.45031
126500 -6.44391
126600 -6.44291
126700 -6.46265
126800 -6.43812
126900 -6.44988
127000 -6.43709
127100 -6.4367
127200 -6.45191
127300 -6.44632
127400 -6.46262
127500 -6.43743
127600 -6.43793
127700 -6.44539
127800 -6.46167
127900 -6.46788
128000 -6.4718
128100 -6.45189
128200 -6.46559
128300 -6.47115
128400 -6.4728
128500 -6.47216
128600 -6.46781
128700 -6.45205
128800 -6.4506
128900 -6.46828
129000 -6.46863
129100 -6.47258
129200 -6.47791
129300 -6.48016
129400 -6.48127
129500 -6.47757
129600 -6.48423
129700 -6.49571
129800 -6.48232
129900 -6.46855
130000 -6.46903
130100 -6.47555
130200 -6.48027
130300 -6.47664
130400 -6.47454
130500 -6.47242
130600 -6.47882
130700 -6.48761
130800 -6.49305
130900 -6.49049
131000 -6.48095
131100 -6.49926
131200 -6.49856
131300 -6.49889
131400 -6.49256
131500 -6.48665
131600 -6.49692
131700 -6.4926
131800 -6.50498
131900 -6.49739
132000 -6.47922
132100 -6.48053
132200 -6.49693
132300 -6.5034
132400 -6.50239
132500 -6.51222
132600 -6.50095
132700 -6.49326
132800 -6.4996
132900 -6.5125
133000 -6.51247
133100 -6.51457
133200 -6.50754
133300 -6.50815
133400 -6.52338
133500 -6.51847
133600 -6.50861
133700 -6.52572
133800 -6.50082
133900 -6.5014
134000 -6.51436
134100 -6.50645
134200 -6.5111
134300 -6.52861
134400 -6.52193
134500 -6.51441
134600 -6.50746
134700 -6.51675
134800 -6.51947
134900 -6.52307
135000 -6.5245
135100 -6.52863
135200 -6.5528
135300 -6.53121
135400 -6.51464
135500 -6.52232
135600 -6.52721
135700 -6.54452
135800 -6.53329
135900 -6.5465
136000 -6.52126
136100 -6.52313
136200 -6.53901
136300 -6.54759
136400 -6.53271
136500 -6.53555
136600 -6.54472
136700 -6.5646
136800 -6.5798
136900 -6.55039
137000 -6.55125
137100 -6.5507
137200 -6.5586
137300 -6.56715
137400 -6.56858
137500 -6.56697
